num	title	chapter	pdf_page	pages	level
30.13.3	Sub Oscillator	30	787	1	2
30.13.4	Filters	30	787	2	2
30.13.5	Matrix Tab	30	789	1	2
30.13.6	Mod Sources Tab	30	790	1	2
30.13.7	MIDI Tab	30	792	1	2
30.13.8	Global and Unison Controls	30	792	2	2
30.13.9	Hi-Quality Mode	30	794	1	2
33.1	MIDI Remote Control	33	836	1	1
33.1.1	Natively Supported Control Surfaces	33	837	1	2
33.1.2	Manual Control Surface Setup	33	838	1	2
33.1.3	Takeover Mode	33	839	1	2
33.2	The Mapping Browser	33	840	1	1
33.2.1	Assigning MIDI Remote Control	33	841	1	2
33.2.2	Mapping to MIDI Notes	33	841	1	2
33.2.3	Mapping to Absolute MIDI Controllers	33	841	1	2
33.2.4	Mapping to Relative MIDI Controllers	33	842	1	2
33.2.5	Computer Keyboard Remote Control	33	844	1	2
36.1	Synchronizing via Link	36	944	1	1
36.1.1	Setting up Link and Link Audio	36	944	3	2
36.1.2	Using Link	36	947	1	2
36.1.3	Using Link Audio	36	947	2	2
36.2	Synchronizing via Tempo Follower	36	949	1	1
36.2.1	Setting Up Tempo Follower	36	949	1	2
36.3	Synchronizing via MIDI	36	950	1	1
36.3.1	Synchronizing External MIDI Devices to Live	36	950	1	2
36.3.2	Synchronizing Live to External MIDI Devices	36	951	1	2
36.3.3	Sync Delay	36	952	1	2
37.1	Managing the CPU Load	37	953	1	1
37.1.1	The CPU Load Meter	37	953	2	2
37.1.2	CPU Load from Multichannel Audio	37	955	1	2
37.1.3	CPU Load from Tracks and Devices	37	955	1	2
37.1.4	Track Freeze	37	956	1	2
37.2	Managing the Disk Load	37	957	2	1
38.1	Testing and Methodology	38	959	1	1
38.2	Neutral Operations	38	959	1	1
38.2.1	Undithered Rendering	38	960	1	2
38.2.2	Matching Sample Rate/No Transposition	38	960	1	2
38.2.3	Unstretched Beats/Tones/Texture/Re-Pitch Warping	38	960	1	2
38.2.4	Summing at Single Mix Points	38	961	1	2
38.2.5	Recording External Signals (Bit Depth >/= A/D Converter)	38	961	1	2
38.2.6	Recording Internal Sources at 32 Bit	38	961	1	2
38.2.7	Freezing Tracks	38	962	1	2
38.2.8	Bypassed Effects	38	962	1	2
38.2.9	Routing	38	963	1	2
38.2.10	Splitting Clips	38	963	1	2
38.3	Non-Neutral Operations	38	963	1	1
38.3.1	Playback in Complex and Complex Pro Mode	38	963	1	2
38.3.2	Sample Rate Conversion/Transposition	38	964	1	2
38.3.3	Volume Automation	38	964	1	2
38.3.4	Dithering	38	964	1	2
38.3.5	Recording External Signals (Bit Depth < A/D Converter)	38	964	1	2
38.3.6	Recording Internal Sources Below 32 Bit	38	965	1	2
38.3.7	Consolidate	38	965	1	2
38.3.8	Clip Fades	38	965	1	2
38.3.9	Panning	38	965	1	2
38.3.10	Grooves	38	965	1	2
38.4	Tips for Achieving Optimal Sound Quality in Live	38	966	1	1
38.5	Conclusion	38	966	1	1
39.1	Ideal MIDI Behavior	39	967	1	1
39.2	MIDI Timing Problems	39	968	1	1
39.3	Live’s MIDI Solutions	39	968	1	1
39.4	Variables Outside of Live’s Control	39	969	2	1
39.5	Tips for Achieving Optimal MIDI Performance	39	971	1	1
39.6	Summary and Conclusions	39	971	2	1
40.1	Menu and Keyboard Navigation Settings	40	973	1	1
40.1.1	Using Tab for Navigation	40	973	1	2
40.1.2	Settings Menu	40	974	1	2
40.1.3	Options Menu	40	975	1	2
40.1.4	Speak Help Text	40	975	1	2
40.2	Audio Setup	40	975	1	1
40.3	Connecting MIDI Devices	40	975	1	1
40.4	Navigating in Live	40	976	1	1
40.4.1	Navigate Menu	40	976	1	2
40.5	Editing Automation and Modulation Envelopes	40	981	1	1
40.5.1	Navigating Between Breakpoints	40	981	1	2
40.5.2	Selecting and Editing Breakpoints	40	982	1	2
40.5.3	Switching Between Automation Envelopes in Arrangement View	40	983	1	2
41.1	Showing and Hiding Views	41	984	1	1
41.2	Keyboard Focus and Navigation	41	985	1	1
41.3	Working with Sets and the Program	41	986	1	1
41.4	Working with Devices and Plug-Ins	41	987	1	1
41.5	Editing	41	987	1	1
41.6	Adjusting Values	41	988	1	1
41.7	Commands for Breakpoint Envelopes	41	989	1	1
41.8	Loop Brace and Start/End Markers	41	990	1	1
41.9	Zooming, Display and Selections	41	990	1	1
41.10	Clip View Editor View Modes	41	991	1	1
41.11	Clip View Sample Editor	41	992	1	1
41.12	Clip View MIDI Note Editor	41	992	3	1
41.13	Grid Snapping and Drawing	41	995	1	1
41.14	Global Quantization	41	995	1	1
41.15	Session View	41	996	1	1
41.16	Arrangement View	41	997	2	1
41.17	Comping	41	999	1	1
41.18	Bounce to Audio	41	999	1	1
41.19	Commands for Tracks	41	1000	1	1
41.20	Transport	41	1001	1	1
41.21	Audio Engine	41	1002	1	1
41.22	Browser	41	1002	1	1
41.23	Similar Sample Swapping	41	1003	1	1
41.24	Key/MIDI Map Mode and the Computer MIDI Keyboard	41	1003	1	1
41.25	Momentary Latching Shortcuts	41	1004	1	1
41.26	General Keyboard Navigation and Workflow	41	1004	1	1
41.26.1	Using Tab for Navigation	41	1005	1	2
41.26.2	Navigating Between Controls in the Settings Menu	41	1005	1	2
41.27	Editing Automation and Modulation Envelopes with the Keyboard	41	1006	1	1
41.28	Accessing Menus	41	1006	1	1
41.29	Using Live’s Context Menu	41	1006	1	1
