source	relation	target
Inharmonic Wavetable Synthesis	connects-to	Bessel Functions in Synthesis
Inharmonic Wavetable Synthesis	connects-to	Dispersion
Inharmonic Wavetable Synthesis	deepens	Wavetable Synthesis -- Research & Higher-Dimensional Design
Inharmonic Wavetable Synthesis	connects-to	Wavetable Space as Torus
Inharmonic Wavetable Synthesis	connects-to	The Curve Is the Material
Meadows and Music — Leverage Points	connects-to	FOUR PILLARS
Meadows and Music — Leverage Points	connects-to	Hilaritas Generator
Meadows and Music — Leverage Points	couples-with	Meadows and Music — Origin and Process
Meadows and Music — Leverage Points	emerged-from	Leverage Points Framework
Meadows and Music — Origin and Process	deepens	FOUR PILLARS
Meadows and Music — Origin and Process	connects-to	Hilaritas Generator
Meadows and Music — Origin and Process	deepens	Cooperation Yields Agency
Meadows and Music — Origin and Process	couples-with	Meadows and Music — Leverage Points
Meadows and Music — Origin and Process	spawned	Modes of Collaboration
Metric Modulation	mirrors	Kuramoto Coupling
Metric Modulation	deepens	Frequency-Time Duality
Metric Modulation	connects-to	FOUR PILLARS
Metric Modulation	emerged-from	Semantic Delay
Neural Granular Synthesis	couples-with	Kuramoto Coupling
Neural Granular Synthesis	deepens	Granular Synthesis
Neural Granular Synthesis	emerged-from	Action Potential Oscillator
Neural Granular Synthesis	connects-to	Boundary-Crossing Instruments
Neural Granular Synthesis	connects-to	Harmonicity and Inharmonicity
Particle Synthesis	deepens	Granular Synthesis
Particle Synthesis	mirrors	Boundary-Crossing Instruments
Particle Synthesis	connects-to	Neural Granular Synthesis
Particle Synthesis	connects-to	Frequency-Time Duality
Particle Synthesis	connects-to	Differential Equations
Piano String Inharmonicity	connects-to	Harmonicity and Inharmonicity
Piano String Inharmonicity	deepens	Boundary-Crossing Instruments
Piano String Inharmonicity	mirrors	Frequency-Time Duality
Piano String Inharmonicity	connects-to	Logarithmic Interface Scaling
Piano String Inharmonicity	mirrors	Ohm's Law
Piano String Inharmonicity	deepens	Dispersion
Portamento and Physical Pitch Modeling	connects-to	Action Potential Oscillator
Portamento and Physical Pitch Modeling	deepens	Frequency-Time Duality
Portamento and Physical Pitch Modeling	couples-with	Kuramoto Coupling
Portamento and Physical Pitch Modeling	connects-to	Bessel Functions in Synthesis
Portamento and Physical Pitch Modeling	connects-to	Biomechanical Synthesis
Preset Oracle	mirrors	FOUR PILLARS
Preset Oracle	connects-to	Hilaritas Generator
Preset Oracle	mirrors	Oblique Portrait
Preset Oracle	connects-to	Symbiotic Skills
Preset Oracle	deepens	Spinoza Conatus
Quantum Synthesizer	couples-with	Bessel Functions in Synthesis
Quantum Synthesizer	deepens	Spinoza Conatus
Quantum Synthesizer	mirrors	Boundary-Crossing Instruments
Quantum Synthesizer	deepens	Harmonicity and Inharmonicity
Quantum Synthesizer	connects-to	Hyperdimensional Prism
Quantum Synthesizer	connects-to	FOUR PILLARS
Retrospective Delay — Staging	couples-with	Progressive Staging
Retrospective Delay	contrasts-with	Semantic Delay
Retrospective Delay	deepens	Trickster
Retrospective Delay	emerged-from	Dub Lineage
Retrospective Delay	connects-to	Playful Interface Design
Retrospective Delay	connects-to	Granular Synthesis
Retrospective Delay	spawned	JSUI
Retrospective Delay	deepens	Frequency-Time Duality
Retrospective Delay	connects-to	Boundary-Crossing Instruments
Retrospective Delay	connects-to	Kuramoto Coupling
Retrospective Delay	couples-with	Progressive Staging
Semantic Delay - Phase 1 Plan Review 2026-04-20	deepens	Semantic Delay
Semantic Delay - Phase 1 Plan Review 2026-04-20	connects-to	Kuramoto Coupling
Semantic Delay - Phase 1 Plan Review 2026-04-20	connects-to	Dub Lineage
Semantic Delay - Phase 1 Plan Review 2026-04-20	connects-to	Boundary-Crossing Instruments
Semantic Delay	couples-with	Kuramoto Coupling
Semantic Delay	emerged-from	Dub Lineage
Semantic Delay	connects-to	Boundary-Crossing Instruments
Semantic Delay	mirrors	Frequency-Time Duality
Semantic Delay	deepens	Spinoza Conatus
Shepard Tone Synthesizer	deepens	Portamento and Physical Pitch Modeling
Shepard Tone Synthesizer	connects-to	Frequency-Time Duality
Shepard Tone Synthesizer	mirrors	Hyperdimensional Prism
Shepard Tone Synthesizer	connects-to	Granular Synthesis
Shepard Tone Synthesizer	enables	Octave Equivalence
Shepard Tone Synthesizer	connects-to	Kuramoto Coupling
Shepard Tone Synthesizer	connects-to	Particle Synthesis
Shepard Tone Synthesizer	connects-to	Piano String Inharmonicity
Shepard Tone Synthesizer	connects-to	Signal-Rate CV Architecture
Shimmer Cloud	emerged-from	Granular Synthesis
Shimmer Cloud	mirrors	Particle Synthesis
Shimmer Cloud	mirrors	Hyperdimensional Prism
Shimmer Cloud	deepens	Frequency-Time Duality
Wallpaper Groups	connects-to	Hyperdimensional Prism
Wallpaper Groups	deepens	Crystal Synthesizer
Wallpaper Groups	connects-to	Quantum Synthesizer
Wallpaper Groups	mirrors	Spinoza Conatus
Wallpaper Groups	connects-to	Granular Synthesis
Wallpaper Groups	connects-to	Kuramoto Coupling
Wallpaper Groups	connects-to	FOUR PILLARS
curriculum-map	connects-to	FOUR PILLARS
curriculum-map	couples-with	Progressive Staging
curriculum-map	enables	Hilaritas Generator
Quadratic Interpolation in DSP	spawned	Compressor Design
Quadratic Interpolation in DSP	connects-to	Portamento and Physical Pitch Modeling
Quadratic Interpolation in DSP	connects-to	Differential Equations
Quadratic Interpolation in DSP	connects-to	Latent Error
Quadratic Interpolation in DSP	connects-to	DSP Frameworks
Quality Manifesto	deepens	FOUR PILLARS
Quality Manifesto	deepens	Leverage Points Framework
Quality Manifesto	enables	4 Pillars Weekly Structure
Quality Manifesto	emerged-from	4 Pillars Framework - The Founding Conversation
Quality Manifesto	enables	Hilaritas Generator
Quality Manifesto	mirrors	Like Water
Quality Manifesto	mirrors	Palace AI Partnership Philosophy
Quality Manifesto	mirrors	Spinoza Conatus
README - The Palace Guide	enables	SUBSTRATE
README - The Palace Guide	emerged-from	Symbiotic Skills
README - The Palace Guide	connects-to	Cooperation Yields Agency
README - The Palace Guide	connects-to	FOUR PILLARS
ROSETTA	mirrors	SCHEMA
ROSETTA	enables	Substrate Skill
ROSETTA	emerged-from	Meaning and the Link
ROSETTA	deepens	SUBSTRATE
Registry Pattern	emerged-from	Generative Audio Devices
Registry Pattern	connects-to	BBS Blackboard
Registry Pattern	connects-to	Actor Model
Registry Pattern	connects-to	Lossy Compression with Intent Alignment
Registry Pattern	connects-to	Four Pillars
Registry Pattern	contradicts	Lateral Access
SCHEMA	enables	CLAUDE
SCHEMA	deepens	README - The Palace Guide
SCHEMA	mirrors	ROSETTA
SCHEMA	enables	Substrate Skill
SCHEMA	enables	Weave Ceremony
SCHEMA	enables	Harvest Ceremony
SCHEMA	enables	Deposit Ceremony
SCHEMA	connects-to	Resonant Link Labels
SMPTE LTC	connects-to	Ableton Extension SDK
SMPTE LTC	deepens	Boundary-Crossing Instruments
SMPTE LTC	connects-to	Frequency-Time Duality
SMPTE LTC	connects-to	Signal-Rate CV Architecture
SMPTE LTC	connects-to	Modes of Collaboration
Scale-Stratified Identity	deepens	Threshold Conatus
Scale-Stratified Identity	deepens	Spinoza Conatus
Scale-Stratified Identity	mirrors	Action Potential Oscillator
Scale-Stratified Identity	connects-to	Kuramoto Coupling
Scale-Stratified Identity	connects-to	Endosymbiosis
Scale-Stratified Identity	enables	Progressive Staging
Scale-Stratified Identity	deepens	Identity Molting
Signal-Rate CV Architecture	enables	Action Potential Oscillator
Signal-Rate CV Architecture	mirrors	Boundary-Crossing Instruments
Signal-Rate CV Architecture	connects-to	FOUR PILLARS
Signal-Rate CV Architecture	enables	Biomechanical Synthesis
Signal-Rate CV Architecture	connects-to	Crystal Synthesizer
Signal-Rate CV Architecture	couples-with	Progressive Staging
Songlines	connects-to	Lateral Access
Songlines	connects-to	Oblique Portrait
Songlines	mirrors	Embeddings as Relational Meaning
Songlines	connects-to	Hilaritas Generator
Spinoza Conatus	deepens	Cooperation Yields Agency
Spinoza Conatus	mirrors	Kuramoto Coupling
Spinoza Conatus	spawned	Hilaritas Generator
Spinoza Conatus	connects-to	FOUR PILLARS
Spinoza Conatus	connects-to	Hyperdimensional Prism
Spinoza Conatus	mirrors	Quality
Spinoza Conatus	mirrors	Meaning and the Link
Spinoza Conatus	connects-to	Symbiotic Skills
Spinoza Conatus	spawned	Threshold Conatus
Spinoza Conatus	couples-with	Trickster
Spinoza Conatus	connects-to	Pages as Agents
State Machine	enables	Action Potential Oscillator
State Machine	connects-to	DSP Frameworks
State Machine	connects-to	Signal-Rate CV Architecture
State Machine	mirrors	ROSETTA
State Machine	mirrors	Progressive Staging
Stoicism	connects-to	Palace Philosophies
Stoicism	contradicts	Confucianism
Stoicism	spawned	The Fortress and the Threshold
Stoicism	connects-to	Excellent Adventure
Stoicism	connects-to	Spinoza Conatus
Stoicism	deepens	Quality Manifesto
Striatum	deepens	Hilaritas Generator
Striatum	connects-to	Kuramoto Coupling
Striatum	connects-to	Action Potential Oscillator
Striatum	connects-to	FOUR PILLARS
Striatum	deepens	Excellent Adventure
Substrate	emerged-from	Symbiotic Skills
Substrate	enables	Cooperation Yields Agency
Substrate	mirrors	Hyperdimensional Prism
Substrate	connects-to	Kuramoto Coupling
Substrate	connects-to	FOUR PILLARS
Substrate	deepens	Self-Describing Knowledge Module
Substrate	enables	SCHEMA
Substrate	emerged-from	Meaning and the Link
Substrate	connects-to	Embeddings as Relational Meaning
Substrate	connects-to	Palace Philosophies
Substrate	connects-to	Hilaritas Generator
Substrate	connects-to	The Cooperation Path
Substrate	connects-to	Substrate Skill
Substrate	connects-to	Spinoza Conatus
The Cooperation Path	connects-to	1 from 2
The Cooperation Path	connects-to	Cooperation Yields Agency
The Cooperation Path	connects-to	Endosymbiosis
The Cooperation Path	connects-to	Spinoza Conatus
The Cooperation Path	connects-to	Hilaritas Generator
The Cooperation Path	connects-to	Symbiotic Skills
The Cooperation Path	deepens	SUBSTRATE
The Cooperation Path	spawned	Modes of Collaboration
The Curve Is the Material	deepens	Inharmonic Wavetable Synthesis
The Curve Is the Material	enables	Wavetable Space as Torus
The Curve Is the Material	connects-to	Categorizing Inharmonicity
The Curve Is the Material	connects-to	Bessel Functions in Synthesis
The Curve Is the Material	connects-to	Piano String Inharmonicity
The Fortress and the Threshold	contradicts	Stoicism
The Fortress and the Threshold	contradicts	Confucianism
The Fortress and the Threshold	connects-to	Spinoza Conatus
The Fortress and the Threshold	connects-to	Palace Philosophies
The Fortress and the Threshold	emerged-from	Excellent Adventure
The Fortress and the Threshold	connects-to	Hilaritas Generator
The Fortress and the Threshold	connects-to	Meaning and the Link
The Fortress and the Threshold	mirrors	Frequency-Time Duality
The Metaphor Stretch	connects-to	Crystal Synthesizer
The Metaphor Stretch	connects-to	Boundary-Crossing Instruments
The Metaphor Stretch	connects-to	Dispersion
Three Kinds of Warp	connects-to	Torus Warping Catalog
Three Kinds of Warp	connects-to	2D Torus Wavetable Synthesizer
Three Kinds of Warp	couples-with	Categorizing Inharmonicity
Three Kinds of Warp	connects-to	Wavetable Space as Torus
Three Kinds of Warp	connects-to	Kuramoto Coupling
Three Kinds of Warp	emerged-from	Harmonicity and Inharmonicity
Three Kinds of Warp	connects-to	Bessel Functions in Synthesis
Threshold Conatus	emerged-from	Trickster
Threshold Conatus	deepens	Spinoza Conatus
Threshold Conatus	mirrors	Kuramoto Coupling
Threshold Conatus	couples-with	Action Potential Oscillator
Threshold Conatus	connects-to	Pheromone Trail
Threshold Conatus	deepens	Scale-Stratified Identity
Threshold Conatus	connects-to	Lateral Access
Threshold Conatus	connects-to	Hilaritas Generator
Threshold Conatus	connects-to	Progressive Staging
Threshold Conatus	couples-with	Identity Molting
Toolkit — Audio Plugins	emerged-from	Loudon's Toolkit
Toolkit — Audio Plugins	connects-to	Toolkit — Synthesizers
Toolkit — Audio Plugins	connects-to	Toolkit — Audio Effects
Toolkit — Synthesizers	emerged-from	Loudon's Toolkit
Toolkit — Synthesizers	connects-to	Toolkit — Drum Machines
Toolkit — Synthesizers	connects-to	Toolkit — MIDI Controllers
Trickster	emerged-from	Semantic Delay
Trickster	mirrors	Oblique Portrait
Trickster	connects-to	1 from 2
Trickster	mirrors	Dub Lineage
Trickster	connects-to	Compressor Design
Trickster	connects-to	FOUR PILLARS
Trickster	deepens	Spinoza Conatus
Trickster	mirrors	Lateral Access
Trickster	connects-to	Action Potential Oscillator
Trickster	spawned	Threshold Conatus
Trickster	connects-to	Hyperdimensional Prism
Trickster	connects-to	Granular Synthesis
Trickster	connects-to	Swarm Weave
Trickster	enables	BBS Blackboard
Trickster	connects-to	Kuramoto Coupling
Trickster	connects-to	Cooperation Yields Agency
Trickster	connects-to	Palace Enchantment
Trickster	enables	Palace Agent Infrastructure Spec
Trickster	couples-with	Dialogue Moderator
Trickster	connects-to	Playful Interface Design
Trickster	connects-to	Retrospective Delay
Trickster	connects-to	Latent Error
Tristitia Generator	mirrors	Hilaritas Generator
Tristitia Generator	deepens	Spinoza Conatus
Tristitia Generator	connects-to	FOUR PILLARS
Wavetable Space as Torus	deepens	Inharmonic Wavetable Synthesis
Wavetable Space as Torus	deepens	Wavetable Synthesis -- Research & Higher-Dimensional Design
Wavetable Space as Torus	connects-to	Harmonicity and Inharmonicity
Wavetable Space as Torus	connects-to	Bessel Functions in Synthesis
Wavetable Space as Torus	mirrors	Kuramoto Coupling
Wavetable Space as Torus	connects-to	The Curve Is the Material
What Claim Does Scientific Sonification Make?	emerged-from	Crystal Synthesizer
What Claim Does Scientific Sonification Make?	emerged-from	The Metaphor Stretch
Deposit Archive	emerged-from	Deposit Ceremony
Deposit Archive	connects-to	Harvest Log
Deposit Ceremony — Context	emerged-from	Deposit Ceremony
Deposit Ceremony — Context	connects-to	Harvest Ceremony
Deposit Ceremony — Context	deepens	SUBSTRATE
Deposit Ceremony	emerged-from	Harvest Ceremony
Deposit Ceremony	enables	Deposit Archive
Deposit Ceremony	deepens	SUBSTRATE
Deposit Ceremony	connects-to	README - The Palace Guide
Deposit Ceremony	mirrors	Endosymbiosis
Deposit Ceremony	spawned	Deposit Ceremony — Context
Deposit Ceremony	connects-to	SCHEMA
Harvest Ceremony — Context	emerged-from	Harvest Ceremony
Harvest Ceremony — Context	connects-to	Deposit Ceremony — Context
Harvest Ceremony — Context	connects-to	Deposit Archive
Harvest Ceremony — Context	deepens	Oblique Portrait
Harvest Ceremony	spawned	Deposit Ceremony
Harvest Ceremony	enables	Deposit Archive
Harvest Ceremony	deepens	SUBSTRATE
Harvest Ceremony	connects-to	Cooperation Yields Agency
Harvest Ceremony	spawned	Harvest Ceremony — Context
Harvest Ceremony	couples-with	Oblique Portrait
Image Embedding Standard	deepens	SCHEMA
Image Embedding Standard	enables	Deposit Ceremony
Image Embedding Standard	connects-to	README - The Palace Guide
Image Embedding Standard	connects-to	SUBSTRATE
Map Build Ceremony	connects-to	Palace Ceremonies
Map Build Ceremony	enables	Swarm Weave
Map Build Ceremony	spawned	Palace Map
Map Build Ceremony	enables	Enchanted Worker
Map Build Ceremony	connects-to	Harvest Ceremony
Map Build Ceremony	connects-to	Palace Enchantment
Mermaid Diagram Standard	deepens	Image Embedding Standard
Mermaid Diagram Standard	deepens	SCHEMA
Mermaid Diagram Standard	enables	Deposit Ceremony
Mermaid Diagram Standard	connects-to	README - The Palace Guide
Pages as Agents	deepens	Swarm Weave
Pages as Agents	connects-to	JEWEL
Pages as Agents	deepens	SUBSTRATE
Pages as Agents	mirrors	Kuramoto Coupling
Pages as Agents	connects-to	Lateral Access
Pages as Agents	enables	SCHEMA
Pages as Agents	mirrors	Spinoza Conatus
Pages as Agents	mirrors	Endosymbiosis
Pages as Agents	spawned	Palace Enchantment
Palace Ceremonies	deepens	SUBSTRATE
Palace Ceremonies	connects-to	Substrate Skill
Palace Ceremonies	enables	Harvest Ceremony
Palace Ceremonies	enables	Deposit Ceremony
Palace Ceremonies	enables	Walk Ceremony
Palace Ceremonies	enables	Weave Ceremony
Palace Ceremonies	enables	Spore Check Ceremony
Palace Ceremonies	enables	Self-Model Update Ceremony
Palace Ceremonies	enables	Revival Ceremony
Palace Ceremonies	connects-to	SCHEMA
Palace Graffiti	mirrors	Trickster
Palace Graffiti	connects-to	Oblique Portrait
Palace Graffiti	deepens	SUBSTRATE
Palace Graffiti	connects-to	SCHEMA
Palace Graffiti	connects-to	Semantic Delay
Palace Map	deepens	Swarm Weave
Palace Map	enables	Enchanted Worker
Palace Map	spawned	Map Build Ceremony
Palace Map	mirrors	JEWEL
Palace Map	connects-to	Pheromone Trail
Palace Map	connects-to	BBS Blackboard
Palace Map	enables	Palace Enchantment
Palace Quotes	connects-to	Palace Philosophies
Palace Quotes	connects-to	FOUR PILLARS
Palace Quotes	connects-to	Hilaritas Generator
Palace To-Do	enables	Harvest Ceremony
Palace To-Do	enables	Deposit Ceremony
Palace To-Do	deepens	SUBSTRATE
Palace To-Do	connects-to	README
Revival Ceremony	connects-to	Palace Ceremonies
Revival Ceremony	emerged-from	Spore Check Ceremony
Revival Ceremony	mirrors	Hibernation Ceremony
Revival Ceremony	connects-to	Deposit Ceremony
Self-Model Update Ceremony	connects-to	Palace Ceremonies
Self-Model Update Ceremony	enables	SUBSTRATE
Self-Model Update Ceremony	connects-to	Weave Ceremony
Self-Model Update Ceremony	connects-to	SCHEMA
Spore Check Ceremony	connects-to	Palace Ceremonies
Spore Check Ceremony	connects-to	Weave Ceremony
Spore Check Ceremony	connects-to	Substrate Skill
Substrate Skill	deepens	SUBSTRATE
Substrate Skill	enables	README - The Palace Guide
Toolkit Assessment — Working Doc	enables	Loudon's Toolkit
Walk Ceremony	connects-to	Palace Ceremonies
Walk Ceremony	connects-to	Substrate Skill
Walk Ceremony	connects-to	Weave Ceremony
Walk Ceremony	mirrors	Cooperation Yields Agency
Walk Ceremony	connects-to	The Cooperation Path
Weave Ceremony — Context	emerged-from	Weave Ceremony
Weave Ceremony — Context	connects-to	Kuramoto Coupling
Weave Ceremony — Context	connects-to	Palace Philosophies
Weave Ceremony	connects-to	Palace Ceremonies
Weave Ceremony	connects-to	Substrate Skill
Weave Ceremony	connects-to	Walk Ceremony
Weave Ceremony	connects-to	Spore Check Ceremony
Weave Ceremony	connects-to	Deposit Archive
Weave Ceremony	mirrors	Kuramoto Coupling
Weave Ceremony	spawned	Weave Ceremony — Context
Weave Ceremony	spawned	Swarm Weave
