source	relation	target
Flocking	connects-to	Pages as Agents
Flocking	connects-to	Hilaritas Generator
Flocking	couples-with	Trickster
Flocking	mirrors	Mixture of Experts
Flocking	mirrors	Spinoza Conatus
Flocking	connects-to	The Shop
Learning Materials and Canon	connects-to	SCHEMA
Learning Materials and Canon	connects-to	Loudon Live
Learning Materials and Canon	connects-to	FOUR PILLARS
Learning Materials and Canon	connects-to	4 Pillars Framework - The Founding Conversation
The Shop	spawned	Maker
The Shop	couples-with	Diversity of Thought in Many-Agent Systems
The Shop	connects-to	Hilaritas Generator
The Shop	connects-to	FOUR PILLARS
The Shop	mirrors	Palace Enchantment
The Shop	connects-to	Pages as Agents
The Shop	connects-to	BBS Blackboard
The Shop	connects-to	Quality Manifesto
The Shop	enables	Palace Agent Infrastructure Spec
The Shop	mirrors	Lossy Compression with Intent Alignment
The Shop	connects-to	Closing Well
Mathieu Equation	emerged-from	Floquet Time-Modulated Loops
Mathieu Equation	connects-to	Floquet Theory
Mathieu Equation	enables	Parametric Resonance
Mathieu Equation	connects-to	Differential Equations
Mathieu Equation	connects-to	Bessel Functions in Synthesis
Mathieu Equation	connects-to	Crystal Synthesizer
Mathieu Equation	connects-to	Dispersion
Audition Gate	emerged-from	Phoneme Choir
Audition Gate	emerged-from	Talking Keyboard
Audition Gate	connects-to	Quality Manifesto
Audition Gate	connects-to	Substrate Skill
Audition Gate	enables	Generative Sample Libraries
Hilaritas_Generator	emerged-from	Spinoza Conatus
Hilaritas_Generator	emerged-from	FOUR PILLARS
Hilaritas_Generator	mirrors	Cooperation Yields Agency
Hilaritas_Generator	connects-to	Kuramoto Coupling
Hilaritas_Generator	enables	Symbiotic Skills
Hilaritas_Generator	spawned	Excellent Adventure
Hilaritas_Generator	deepens	Striatum
Hilaritas_Generator	deepens	Meadows and Music — Leverage Points
Hilaritas_Generator	connects-to	Identity Molting
Hilaritas_Generator	spawned	Tristitia Generator
Hilaritas_Generator	connects-to	Palace Philosophies
Hilaritas_Generator	connects-to	Hilaritas Generator — Context
Source Library	deepens	FOUR PILLARS
Source Library	enables	Cross-Domain Resonances
Source Library	spawned	Donella Meadows
Source Library	spawned	Shunryu Suzuki
Source Library	spawned	Marcus Aurelius
Source Library	spawned	Lao Tzu
Source Library	spawned	Brian Eno
Boundary-Crossing Instruments	connects-to	FOUR PILLARS
Boundary-Crossing Instruments	spawned	Frequency-Time Duality
Boundary-Crossing Instruments	connects-to	Kuramoto Coupling
Boundary-Crossing Instruments	mirrors	Hyperdimensional Prism
Boundary-Crossing Instruments	enables	Symbiotic Skills
Boundary-Crossing Instruments	connects-to	Action Potential Oscillator
Boundary-Crossing Instruments	connects-to	2D Torus Wavetable Synthesizer
Boundary-Crossing Instruments	mirrors	DSP in Looping Dimensions
Surfaces and Capabilities	enables	Baton Ceremony
Surfaces and Capabilities	connects-to	Maker
Surfaces and Capabilities	connects-to	The Shop
Surfaces and Capabilities	connects-to	Closing Well
Surfaces and Capabilities	connects-to	Claude CLI Reference
Surfaces and Capabilities	connects-to	Modes of Collaboration
Spinoza Conatus	mirrors	Kuramoto Coupling
Spinoza Conatus	spawned	Hilaritas Generator
Spinoza Conatus	connects-to	FOUR PILLARS
Spinoza Conatus	connects-to	Hyperdimensional Prism
Spinoza Conatus	mirrors	Quality Manifesto
Spinoza Conatus	mirrors	Meaning and the Link
Spinoza Conatus	connects-to	Symbiotic Skills
Spinoza Conatus	spawned	Threshold Conatus
Spinoza Conatus	couples-with	Trickster
Spinoza Conatus	connects-to	Pages as Agents
Scale-Stratified Identity	deepens	Spinoza Conatus
Scale-Stratified Identity	mirrors	Action Potential Oscillator
Scale-Stratified Identity	connects-to	Kuramoto Coupling
Scale-Stratified Identity	connects-to	Endosymbiosis
Scale-Stratified Identity	enables	Progressive Staging
Scale-Stratified Identity	deepens	Identity Molting
Scale-Stratified Identity	connects-to	Hilaritas Generator
Scale-Stratified Identity	connects-to	The Fortress and the Threshold
1 from 2	spawned	Cooperation Yields Agency
1 from 2	connects-to	Spinoza Conatus
1 from 2	mirrors	Symbiotic Skills
1 from 2	connects-to	FOUR PILLARS
1 from 2	mirrors	Endosymbiosis
1 from 2	connects-to	Trickster
The Substrate Drifts	connects-to	BBS Blackboard
The Substrate Drifts	connects-to	Project Stewardship System
The Substrate Drifts	deepens	SUBSTRATE
The Substrate Drifts	couples-with	Pages as Agents
The Substrate Drifts	emerged-from	BBS Production Plan v0.3 — Rich Content
Claude CLI Reference	enables	SUBSTRATE
Claude CLI Reference	connects-to	Modes of Collaboration
Claude CLI Reference	enables	Palace Ceremonies
Claude CLI Reference	connects-to	Pages as Agents
Claude CLI Reference	connects-to	Boundary-Crossing Instruments
Claude CLI Reference	connects-to	Dialectic
Claude CLI Reference	connects-to	Neural Granular Synthesis
Claude CLI Reference	connects-to	Semantic Delay
Trickster	emerged-from	Semantic Delay
Trickster	mirrors	Oblique Portrait
Trickster	connects-to	1 from 2
Trickster	mirrors	Dub Lineage
Trickster	connects-to	Compressor Design
Trickster	connects-to	FOUR PILLARS
Trickster	deepens	Spinoza Conatus
Trickster	mirrors	Lateral Access
Trickster	connects-to	Action Potential Oscillator
Trickster	spawned	Threshold Conatus
Trickster	connects-to	Hyperdimensional Prism
Trickster	connects-to	Granular Synthesis
Trickster	connects-to	Swarm Weave
Trickster	connects-to	BBS Blackboard
Trickster	connects-to	STIGMERGY
Trickster	connects-to	Kuramoto Coupling
Trickster	connects-to	Cooperation Yields Agency
Trickster	connects-to	Palace Enchantment
Trickster	connects-to	Palace Agent Infrastructure Spec
Trickster	couples-with	Dialogue Moderator
Trickster	connects-to	Playful Interface Design
Trickster	connects-to	Retrospective Delay
Trickster	connects-to	Latent Error
Trickster	connects-to	Particle Synthesis
Trickster	enables	Project Stewardship System
Entry Conatus	deepens	Spinoza Conatus
Entry Conatus	mirrors	Threshold Conatus
Entry Conatus	deepens	Pages as Agents
Entry Conatus	couples-with	SCHEMA
Entry Conatus	connects-to	Enrichment
Entry Conatus	emerged-from	Phoneme Choir
Entry Conatus	connects-to	Weave Ceremony
Trickster Commit	exemplifies	Trickster
Trickster Commit	connects-to	STIGMERGY
Trickster Commit	connects-to	Closing Well
4 Pillars Framework - The Founding Conversation	spawned	Quality Manifesto
4 Pillars Framework - The Founding Conversation	spawned	Leverage Points Framework
4 Pillars Framework - The Founding Conversation	spawned	Palace AI Partnership Philosophy
4 Pillars Framework - The Founding Conversation	deepens	FOUR PILLARS
4 Pillars Framework - The Founding Conversation	enables	Donella Meadows
4 Pillars Framework - The Founding Conversation	mirrors	Cooperation Yields Agency
4 Pillars Framework - The Founding Conversation	connects-to	Loudon Live
Autodidact Polymaths	couples-with	Loudon Live
Autodidact Polymaths	connects-to	FOUR PILLARS
Leverage Points Framework	deepens	Donella Meadows
Leverage Points Framework	enables	Quality Manifesto
Leverage Points Framework	connects-to	FOUR PILLARS
Leverage Points Framework	connects-to	Loudon Live
Leverage Points Framework	emerged-from	4 Pillars Framework - The Founding Conversation
Leverage Points Framework	spawned	Meadows and Music — Leverage Points
Leverage Points Framework	mirrors	Spinoza Conatus
Palace Philosophies	spawned	Spinoza Conatus
Palace Philosophies	connects-to	FOUR PILLARS
Palace Philosophies	connects-to	Hyperdimensional Prism
Palace Philosophies	connects-to	Hilaritas Generator
Palace Philosophies	connects-to	Kuramoto Coupling
Palace Philosophies	connects-to	Palace Quotes
Palace Philosophies	deepens	Cooperation Yields Agency
Palace Philosophies	connects-to	Confucianism
Palace Philosophies	connects-to	Stoicism
Palace Philosophies	connects-to	The Dichotomy of Control
Palace Philosophies	connects-to	The View From Above
Palace Philosophies	connects-to	The Four Virtues
Palace Philosophies	connects-to	The Fortress and the Threshold
Palace Philosophies	connects-to	1 from 2
Palace Philosophies	spawned	Deleuze
Palace Philosophies	connects-to	Simondon
Palace Philosophies	connects-to	Whitehead
Palace Philosophies	connects-to	Merleau-Ponty
Palace Philosophies	connects-to	The Drift
Palace Philosophies	connects-to	spinoza-zhuangzi-on-striving
Palace Philosophies	enables	Philosopher Visits the Entry
Palace Philosophies	connects-to	STIGMERGY Philosophical Lenses
Palace Philosophies	connects-to	Palace Philosophies — Context
State Machine	enables	Action Potential Oscillator
State Machine	connects-to	DSP Frameworks
State Machine	connects-to	Signal-Rate CV Architecture
State Machine	mirrors	ROSETTA
State Machine	mirrors	Progressive Staging
Drift and Consolidation	deepens	Project Stewardship System
Drift and Consolidation	mirrors	Deposit Ceremony
Drift and Consolidation	mirrors	Baton Ceremony
Drift and Consolidation	connects-to	Harvest Ceremony
Drift and Consolidation	connects-to	BBS Blackboard
Drift and Consolidation	deepens	Pages as Agents
Drift and Consolidation	connects-to	Closing Well
PDL Generation Prompt	member-of	Generative Audio Devices
PDL Generation Prompt	connects-to	Synth Archetypes
PDL Generation Prompt	exemplifies	Registry Pattern
PDL Generation Prompt	enables	VCV Patch Generator
Cooperation Yields Agency — Context	member-of	Cooperation Yields Agency
The View From Above	emerged-from	Stoicism
The View From Above	couples-with	The Dichotomy of Control
The View From Above	mirrors	Hyperdimensional Prism
The View From Above	connects-to	Palace Map
The View From Above	connects-to	Drift and Consolidation
The View From Above	connects-to	Hilaritas Generator
Volterra Kernels and the Torus	mirrors	2D Torus Wavetable Synthesizer
Volterra Kernels and the Torus	deepens	DSP in Looping Dimensions
Volterra Kernels and the Torus	connects-to	Boundary-Crossing Instruments
Volterra Kernels and the Torus	couples-with	Dispersion Table
Volterra Kernels and the Torus	connects-to	Spinoza Conatus
Volterra Kernels and the Torus	member-of	Dissolutions
Leibniz	connects-to	Palace Philosophies
Leibniz	contradicts	Whitehead
Leibniz	connects-to	Hyperdimensional Prism
Leibniz	connects-to	Meaning and the Link
Leibniz	connects-to	FOUR PILLARS
Leibniz	connects-to	Spinoza Conatus
The Fortress and the Threshold	contradicts	Stoicism
The Fortress and the Threshold	contradicts	Confucianism
The Fortress and the Threshold	connects-to	Spinoza Conatus
The Fortress and the Threshold	connects-to	Palace Philosophies
The Fortress and the Threshold	emerged-from	Excellent Adventure
The Fortress and the Threshold	connects-to	Dialectic
The Fortress and the Threshold	connects-to	Hilaritas Generator
The Fortress and the Threshold	connects-to	Meaning and the Link
The Fortress and the Threshold	mirrors	Frequency-Time Duality
The Fortress and the Threshold	connects-to	Like Water
Speak Like a Person, Log Like a Protocol	connects-to	BBS Design System
Speak Like a Person, Log Like a Protocol	connects-to	STIGMERGY v1.0 — Palace Front-End
Speak Like a Person, Log Like a Protocol	connects-to	Trickster
Speak Like a Person, Log Like a Protocol	connects-to	FOUR PILLARS
Speak Like a Person, Log Like a Protocol	mirrors	ROSETTA
Exponential Decay Curvature	deepens	Frequency-Time Duality
Exponential Decay Curvature	couples-with	2D Torus Wavetable Synthesizer
Exponential Decay Curvature	mirrors	Compressor Design
Exponential Decay Curvature	connects-to	Three Kinds of Warp
Exponential Decay Curvature	member-of	Dissolutions
Confucianism	connects-to	Palace Philosophies
Confucianism	contradicts	Stoicism
Confucianism	spawned	The Fortress and the Threshold
Confucianism	connects-to	Excellent Adventure
Confucianism	connects-to	Hilaritas Generator
Confucianism	connects-to	Symbiotic Skills
Confucianism	connects-to	Spinoza Conatus
Confucianism	connects-to	Cooperation Yields Agency
Modes_of_Collaboration	connects-to	Excellent Adventure
Modes_of_Collaboration	connects-to	Hilaritas Generator
Modes_of_Collaboration	connects-to	Symbiotic Skills
Modes_of_Collaboration	connects-to	FOUR PILLARS
Modes_of_Collaboration	connects-to	Ohm's Law
Modes_of_Collaboration	connects-to	Dialectic
Modes_of_Collaboration	connects-to	Palace Enchantment
Modes_of_Collaboration	connects-to	Piano String Inharmonicity
Modes_of_Collaboration	connects-to	Modes of Collaboration — Context
Jewel — Context	emerged-from	JEWEL
Jewel — Context	connects-to	Swarm Weave
Jewel — Context	connects-to	Self-Describing Knowledge Module
Songlines	connects-to	Lateral Access
Songlines	connects-to	Oblique Portrait
Songlines	mirrors	Embeddings as Relational Meaning
Songlines	connects-to	Hilaritas Generator
Cooperation Yields Agency	emerged-from	1 from 2
Cooperation Yields Agency	mirrors	Kuramoto Coupling
Cooperation Yields Agency	deepens	Spinoza Conatus
Cooperation Yields Agency	spawned	Symbiotic Skills
Cooperation Yields Agency	mirrors	Endosymbiosis
Cooperation Yields Agency	mirrors	Mixture of Experts
Cooperation Yields Agency	connects-to	Quality Manifesto
Cooperation Yields Agency	spawned	Modes of Collaboration
Cooperation Yields Agency	connects-to	Cooperation Yields Agency — Context
FOUR PILLARS	enables	Cooperation Yields Agency
FOUR PILLARS	spawned	Hilaritas Generator
FOUR PILLARS	spawned	Symbiotic Skills
FOUR PILLARS	connects-to	Kuramoto Coupling
FOUR PILLARS	spawned	Quality Manifesto
FOUR PILLARS	connects-to	Trickster
FOUR PILLARS	mirrors	Wallpaper Groups
FOUR PILLARS	connects-to	FOUR PILLARS — Context
Meaning and the Link	spawned	SUBSTRATE
Meaning and the Link	spawned	Embeddings as Relational Meaning
Meaning and the Link	connects-to	Hyperdimensional Prism
Meaning and the Link	connects-to	Cooperation Yields Agency
Meaning and the Link	mirrors	Spinoza Conatus
Meaning and the Link	enables	Palace Ceremonies
Meaning and the Link	spawned	Resonant Link Labels
Rank-N Lattice Analysis	mirrors	2D Torus Wavetable Synthesizer
Rank-N Lattice Analysis	deepens	DSP in Looping Dimensions
Rank-N Lattice Analysis	connects-to	Chebyshev is Fourier
Rank-N Lattice Analysis	connects-to	Categorizing Inharmonicity
Rank-N Lattice Analysis	member-of	Dissolutions
Deleuze	connects-to	Palace Philosophies
Deleuze	deepens	Spinoza Conatus
Deleuze	couples-with	Whitehead
Deleuze	connects-to	Hyperdimensional Prism
Deleuze	connects-to	Meaning and the Link
Deleuze	connects-to	Granular Synthesis
Deleuze	connects-to	Wavetable Space as Torus
Deleuze	connects-to	Mixture of Experts
Deleuze	connects-to	The Drift
Kuramoto Coupling	mirrors	Cooperation Yields Agency
Kuramoto Coupling	connects-to	Hyperdimensional Prism
Kuramoto Coupling	connects-to	Hilaritas Generator
Kuramoto Coupling	mirrors	Spinoza Conatus
Kuramoto Coupling	enables	SUBSTRATE
Kuramoto Coupling	mirrors	Mixture of Experts
Kuramoto Coupling	couples-with	Action Potential Oscillator
Kuramoto Coupling	mirrors	Lateral Access
Kuramoto Coupling	couples-with	Harmonicity and Inharmonicity
Kuramoto Coupling	connects-to	Granular Synthesis
Kuramoto Coupling	connects-to	Modes of Collaboration
Kuramoto Coupling	couples-with	Phase Reduction
Kuramoto Coupling	couples-with	Categorizing Inharmonicity
Kuramoto Coupling	connects-to	Trickster
Kuramoto Coupling	mirrors	Palace Enchantment
Kuramoto Coupling	connects-to	Threshold Conatus
Kuramoto Coupling	enables	Boundary-Crossing Instruments
Language as a Tonal Medium	emerged-from	Semantic Webcam
Language as a Tonal Medium	connects-to	Oblique Portrait
Language as a Tonal Medium	connects-to	Convolution
Language as a Tonal Medium	connects-to	Synthesis ↔ Emergence
Wavetable Scanner	exemplifies	1D Wavetable Scanning
Wavetable Scanner	connects-to	Web Audio Worklet
Wavetable Scanner	connects-to	Three.js
Wavetable Scanner	connects-to	Maker
Wavetable Scanner	mirrors	2D Torus Wavetable Synthesizer
Wavetable Scanner	mirrors	Waveguide Synthesizer
STIGMERGY	emerged-from	BBS Blackboard
STIGMERGY	connects-to	Palace Agent Infrastructure Spec
STIGMERGY	connects-to	SCHEMA
STIGMERGY	enables	Project Stewardship System
STIGMERGY	enables	Swarm Weave
STIGMERGY	connects-to	Trickster
STIGMERGY	mirrors	Pheromone Trail
STIGMERGY	connects-to	Pages as Agents
STIGMERGY	connects-to	BBS Design System
SMPTE LTC	connects-to	Ableton Extension SDK
SMPTE LTC	deepens	Boundary-Crossing Instruments
SMPTE LTC	connects-to	Frequency-Time Duality
SMPTE LTC	connects-to	Signal-Rate CV Architecture
SMPTE LTC	connects-to	Modes of Collaboration
Generative Audio Devices	connects-to	FOUR PILLARS
Generative Audio Devices	spawned	Registry Pattern
Generative Audio Devices	connects-to	Synthesis Topologies
Generative Audio Devices	enables	Loudon Live
Generative Audio Devices	spawned	PDL Renderer
Generative Audio Devices	spawned	PDL Generation Prompt
Generative Audio Devices	spawned	Synth Archetypes
Generative Audio Devices	couples-with	Generative Preset Development
Generative Audio Devices	mirrors	Preset Oracle
Generative Audio Devices	deepens	Self-Describing Knowledge Module
Generative Audio Devices	enables	Signal-Rate CV Architecture
CLAUDE	connects-to	SCHEMA
CLAUDE	connects-to	SUBSTRATE
CLAUDE	connects-to	FOUR PILLARS
CLAUDE	connects-to	Palace Ceremonies
Tristitia Generator	mirrors	Hilaritas Generator
Tristitia Generator	deepens	Spinoza Conatus
Tristitia Generator	connects-to	FOUR PILLARS
Tristitia Generator	connects-to	Identity Molting
Hilaritas Generator	emerged-from	Spinoza Conatus
Hilaritas Generator	emerged-from	FOUR PILLARS
Hilaritas Generator	mirrors	Cooperation Yields Agency
Hilaritas Generator	connects-to	Kuramoto Coupling
Hilaritas Generator	enables	Symbiotic Skills
Hilaritas Generator	spawned	Excellent Adventure
Hilaritas Generator	deepens	Striatum
Hilaritas Generator	deepens	Meadows and Music — Leverage Points
Hilaritas Generator	connects-to	Identity Molting
Hilaritas Generator	spawned	Tristitia Generator
Hilaritas Generator	connects-to	Palace Philosophies
Hilaritas Generator	connects-to	Hilaritas Generator — Context
Gemma 4 — Local Coordination Guide	connects-to	BBS Blackboard
Gemma 4 — Local Coordination Guide	connects-to	Swarm Weave
Gemma 4 — Local Coordination Guide	connects-to	Palace Enchantment
Gemma 4 — Local Coordination Guide	connects-to	Enchanted Worker
Simondon	connects-to	Palace Philosophies
Simondon	couples-with	Deleuze
Simondon	connects-to	Spinoza Conatus
Simondon	deepens	Boundary-Crossing Instruments
Simondon	mirrors	Endosymbiosis
Simondon	connects-to	Cooperation Yields Agency
Simondon	connects-to	Quality Manifesto
FOUR_PILLARS	enables	Cooperation Yields Agency
FOUR_PILLARS	spawned	Hilaritas Generator
FOUR_PILLARS	spawned	Symbiotic Skills
FOUR_PILLARS	connects-to	Kuramoto Coupling
FOUR_PILLARS	spawned	Quality Manifesto
FOUR_PILLARS	connects-to	Trickster
FOUR_PILLARS	mirrors	Wallpaper Groups
FOUR_PILLARS	connects-to	FOUR PILLARS — Context
Stoicism	connects-to	Palace Philosophies
Stoicism	contradicts	Confucianism
Stoicism	spawned	The Fortress and the Threshold
Stoicism	spawned	The Dichotomy of Control
Stoicism	spawned	The View From Above
Stoicism	spawned	The Four Virtues
Stoicism	connects-to	Spinoza Conatus
Stoicism	contradicts	The Drift
Stoicism	deepens	Quality Manifesto
Stoicism	connects-to	Excellent Adventure
Stoicism	connects-to	Marcus Aurelius
Stoicism	connects-to	Epictetus
Like Water	mirrors	Hilaritas Generator
Like Water	mirrors	Spinoza Conatus
Like Water	mirrors	Quality Manifesto
Like Water	deepens	Lateral Access
Like Water	connects-to	Confucianism
Like Water	spawned	Identity Molting
Like Water	connects-to	Revival Ceremony
Logarithmic Interface Scaling	connects-to	FOUR PILLARS
Logarithmic Interface Scaling	mirrors	Boundary-Crossing Instruments
Logarithmic Interface Scaling	enables	Ohm's Law
Logarithmic Interface Scaling	enables	Piano String Inharmonicity
Spinoza	spawned	Spinoza Conatus
Spinoza	connects-to	Palace Philosophies
Spinoza	connects-to	Philosopher Visits the Entry
Spinoza	connects-to	Linear Predictive Coding
Spinoza	connects-to	Threshold Conatus
Spinoza	couples-with	Whitehead
Spinoza	connects-to	Merleau-Ponty
Embeddings as Relational Meaning	emerged-from	Meaning and the Link
Embeddings as Relational Meaning	connects-to	SUBSTRATE
Embeddings as Relational Meaning	connects-to	Hyperdimensional Prism
Embeddings as Relational Meaning	enables	Cooperation Yields Agency
Embeddings as Relational Meaning	mirrors	Spinoza Conatus
DSP in Looping Dimensions	couples-with	2D Torus Wavetable Synthesizer
DSP in Looping Dimensions	mirrors	Frequency-Time Duality
DSP in Looping Dimensions	connects-to	Kuramoto Coupling
DSP in Looping Dimensions	connects-to	Wallpaper Groups
DSP in Looping Dimensions	couples-with	Wavetable Space as Torus
DSP in Looping Dimensions	enables	Categorizing Inharmonicity
DSP in Looping Dimensions	mirrors	Inharmonic Wavetable Synthesis
zhuangzi-epictetus-confucius-on-the-self	emerged-from	The Fortress and the Threshold
zhuangzi-epictetus-confucius-on-the-self	connects-to	Excellent Adventure
zhuangzi-epictetus-confucius-on-the-self	connects-to	Dialectic
zhuangzi-epictetus-confucius-on-the-self	connects-to	Stoicism
zhuangzi-epictetus-confucius-on-the-self	connects-to	Confucianism
zhuangzi-epictetus-confucius-on-the-self	connects-to	Like Water
zhuangzi-epictetus-confucius-on-the-self	connects-to	Spinoza Conatus
Talking Keyboard	emerged-from	Generative Sample Libraries
Talking Keyboard	mirrors	Phoneme Choir
Talking Keyboard	connects-to	Substrate Skill
Talking Keyboard	connects-to	Modes of Collaboration
Talking Keyboard	connects-to	FOUR PILLARS
Talking Keyboard	connects-to	Project Stewardship System
Piano String Inharmonicity	connects-to	Harmonicity and Inharmonicity
Piano String Inharmonicity	deepens	Boundary-Crossing Instruments
Piano String Inharmonicity	mirrors	Frequency-Time Duality
Piano String Inharmonicity	connects-to	Logarithmic Interface Scaling
Piano String Inharmonicity	mirrors	Ohm's Law
Piano String Inharmonicity	deepens	Dispersion
Piano String Inharmonicity	mirrors	Octave Equivalence
Piano String Inharmonicity	connects-to	Floquet Time-Modulated Loops
Particle Synthesis	deepens	Granular Synthesis
Particle Synthesis	mirrors	Boundary-Crossing Instruments
Particle Synthesis	connects-to	Neural Granular Synthesis
Particle Synthesis	connects-to	Frequency-Time Duality
Particle Synthesis	connects-to	Differential Equations
Shepard Tone Synthesizer	deepens	Portamento and Physical Pitch Modeling
Shepard Tone Synthesizer	connects-to	Frequency-Time Duality
Shepard Tone Synthesizer	mirrors	Hyperdimensional Prism
Shepard Tone Synthesizer	connects-to	Granular Synthesis
Shepard Tone Synthesizer	enables	Octave Equivalence
Shepard Tone Synthesizer	connects-to	Kuramoto Coupling
Shepard Tone Synthesizer	connects-to	Particle Synthesis
Shepard Tone Synthesizer	connects-to	Piano String Inharmonicity
Shepard Tone Synthesizer	connects-to	Signal-Rate CV Architecture
Bessel Functions in Synthesis	mirrors	Boundary-Crossing Instruments
Bessel Functions in Synthesis	deepens	Harmonicity and Inharmonicity
Bessel Functions in Synthesis	connects-to	Kuramoto Coupling
Bessel Functions in Synthesis	connects-to	Hyperdimensional Prism
Bessel Functions in Synthesis	connects-to	Differential Equations
Bessel Functions in Synthesis	connects-to	Crystal Synthesizer
Bessel Functions in Synthesis	connects-to	Quantum Synthesizer
Bessel Functions in Synthesis	connects-to	Spinoza Conatus
Bessel Functions in Synthesis	connects-to	Action Potential Oscillator
Slime Mold Delay	connects-to	Biomechanical Synthesis
Slime Mold Delay	connects-to	Retrospective Delay
Slime Mold Delay	connects-to	Semantic Delay
Slime Mold Delay	deepens	Particle Synthesis
Slime Mold Delay	couples-with	Substrate Skill
Slime Mold Delay	mirrors	Hyperdimensional Prism
Curriculum Map	connects-to	FOUR PILLARS
Curriculum Map	couples-with	Progressive Staging
Curriculum Map	enables	Hilaritas Generator
Semantic Webcam	emerged-from	Oblique Enrichment
Semantic Webcam	connects-to	Oblique Portrait
Semantic Webcam	connects-to	Convolution
Semantic Webcam	connects-to	Synthesis ↔ Emergence
Semantic Webcam	connects-to	BBS Design System
Semantic Webcam	connects-to	BBS Blackboard
Semantic Webcam	spawned	Language as a Tonal Medium
Meadows and Music — Leverage Points	connects-to	FOUR PILLARS
Meadows and Music — Leverage Points	connects-to	Hilaritas Generator
Meadows and Music — Leverage Points	couples-with	Meadows and Music — Origin and Process
Meadows and Music — Leverage Points	emerged-from	Leverage Points Framework
Wallpaper Groups	connects-to	Hyperdimensional Prism
Wallpaper Groups	connects-to	Quantum Synthesizer
Wallpaper Groups	mirrors	Spinoza Conatus
Wallpaper Groups	connects-to	Granular Synthesis
Wallpaper Groups	connects-to	Kuramoto Coupling
Wallpaper Groups	connects-to	FOUR PILLARS
Wallpaper Groups	spawned	Metric Modulation
Inharmonic Wavetable Synthesis	deepens	Categorizing Inharmonicity
Inharmonic Wavetable Synthesis	emerged-from	Piano String Inharmonicity
Inharmonic Wavetable Synthesis	emerged-from	Harmonicity and Inharmonicity
Inharmonic Wavetable Synthesis	connects-to	Neural Granular Synthesis
Inharmonic Wavetable Synthesis	connects-to	Boundary-Crossing Instruments
Inharmonic Wavetable Synthesis	couples-with	FOUR PILLARS
Inharmonic Wavetable Synthesis	connects-to	Bessel Functions in Synthesis
Inharmonic Wavetable Synthesis	connects-to	Dispersion
Inharmonic Wavetable Synthesis	deepens	Wavetable Synthesis -- Research & Higher-Dimensional Design
Inharmonic Wavetable Synthesis	enables	Kuramoto Coupling
Inharmonic Wavetable Synthesis	mirrors	Crystal Synthesizer
Inharmonic Wavetable Synthesis	connects-to	Wavetable Space as Torus
Inharmonic Wavetable Synthesis	connects-to	The Curve Is the Material
Inharmonic Wavetable Synthesis	couples-with	2D Torus Wavetable Synthesizer
Inharmonic Wavetable Synthesis	connects-to	DSP in Looping Dimensions
Generative Preset Development	couples-with	Generative Audio Devices
Generative Preset Development	couples-with	Generative Sample Libraries
Generative Preset Development	mirrors	Registry Pattern
Generative Preset Development	deepens	Synthesis Topologies
Generative Preset Development	connects-to	FOUR PILLARS
Generative Preset Development	enables	Loudon Live
Generative Preset Development	mirrors	Preset Oracle
Generative Preset Development	enables	Loudon's Toolkit
Generative Preset Development	deepens	Action Potential Oscillator
Generative Preset Development	mirrors	Floquet Theory
Meadows and an Artist's Career	emerged-from	Meadows and Music — Leverage Points
Meadows and an Artist's Career	connects-to	Meadows and Music — Origin and Process
Meadows and an Artist's Career	connects-to	FOUR PILLARS
Meadows and an Artist's Career	couples-with	Substrate Skill
Metric Modulation	mirrors	Kuramoto Coupling
Metric Modulation	deepens	Frequency-Time Duality
Metric Modulation	connects-to	FOUR PILLARS
Metric Modulation	emerged-from	Semantic Delay
Metric Modulation	deepens	Wallpaper Groups
Generative Wavetable Libraries	emerged-from	Generative Sample Libraries
Generative Wavetable Libraries	couples-with	Generative Sample Libraries
Generative Wavetable Libraries	mirrors	Wavetable Synthesis -- Research & Higher-Dimensional Design
Generative Wavetable Libraries	connects-to	Inharmonic Wavetable Synthesis
Generative Wavetable Libraries	connects-to	2D Torus Wavetable Synthesizer
Generative Wavetable Libraries	connects-to	Crystal Synthesizer
Generative Wavetable Libraries	deepens	Shepard Tone Synthesizer
Generative Wavetable Libraries	couples-with	Generative Audio Devices
Generative Wavetable Libraries	connects-to	Floquet Theory
Shimmer Cloud	emerged-from	Granular Synthesis
Shimmer Cloud	mirrors	Particle Synthesis
Shimmer Cloud	mirrors	Hyperdimensional Prism
Shimmer Cloud	deepens	Frequency-Time Duality
Shimmer Cloud	connects-to	Dispersion
Categorizing Inharmonicity	connects-to	Bessel Functions in Synthesis
Categorizing Inharmonicity	connects-to	Quantum Synthesizer
Categorizing Inharmonicity	connects-to	Compressor Design
Categorizing Inharmonicity	connects-to	Kuramoto Coupling
Categorizing Inharmonicity	connects-to	Granular Synthesis
Categorizing Inharmonicity	deepens	Harmonicity and Inharmonicity
Categorizing Inharmonicity	deepens	Piano String Inharmonicity
Categorizing Inharmonicity	connects-to	Hyperdimensional Prism
Categorizing Inharmonicity	connects-to	Dispersion
Categorizing Inharmonicity	deepens	Spinoza Conatus
Categorizing Inharmonicity	enables	2D Torus Wavetable Synthesizer
Categorizing Inharmonicity	connects-to	DSP in Looping Dimensions
Blood Compressor	connects-to	Biomechanical Synthesis
Blood Compressor	deepens	Compressor Design
Blood Compressor	mirrors	Action Potential Oscillator
Blood Compressor	couples-with	Substrate Skill
Blood Compressor	deepens	Spinoza Conatus
